country,day,domestic_flights,international_departures,international_arrivals,total_flights
Afghanistan,2020-02-16,0.0,,3.0,
Afghanistan,2020-03-21,0.0,2.0,5.0,7.0
Afghanistan,2020-03-24,0.0,5.0,1.0,6.0
Afghanistan,2020-04-03,0.0,1.0,7.0,8.0
Afghanistan,2020-04-22,0.0,0.0,1.0,1.0
Algeria,2020-02-01,2.0,34.0,29.0,65.0
Algeria,2020-02-03,0.0,36.0,39.0,75.0
Algeria,2020-02-10,1.0,43.0,42.0,86.0
Algeria,2020-02-11,0.0,37.0,34.0,71.0
Algeria,2020-02-14,1.0,44.0,51.0,96.0
Algeria,2020-02-20,1.0,42.0,27.0,70.0
Algeria,2020-02-22,9.0,56.0,50.0,115.0
Algeria,2020-02-23,6.0,48.0,49.0,103.0
Algeria,2020-02-24,7.0,44.0,52.0,103.0
Algeria,2020-02-25,4.0,48.0,44.0,96.0
Algeria,2020-02-29,6.0,54.0,52.0,112.0
Algeria,2020-03-01,4.0,43.0,29.0,76.0
Algeria,2020-03-03,0.0,36.0,21.0,57.0
Algeria,2020-03-05,1.0,46.0,36.0,83.0
Algeria,2020-03-07,1.0,38.0,19.0,58.0
Algeria,2020-03-09,0.0,42.0,15.0,57.0
Algeria,2020-03-10,1.0,33.0,34.0,68.0
Algeria,2020-03-11,2.0,32.0,24.0,58.0
Algeria,2020-03-12,1.0,41.0,35.0,77.0
Algeria,2020-03-13,1.0,42.0,25.0,68.0
Algeria,2020-03-14,2.0,43.0,34.0,79.0
Algeria,2020-03-15,2.0,43.0,32.0,77.0
Algeria,2020-03-17,1.0,26.0,11.0,38.0
Algeria,2020-03-18,1.0,4.0,1.0,6.0
Algeria,2020-04-08,0.0,3.0,4.0,7.0
Algeria,2020-04-09,2.0,3.0,2.0,7.0
Algeria,2020-04-16,4.0,3.0,3.0,10.0
Algeria,2020-04-17,4.0,2.0,1.0,7.0
Algeria,2020-04-18,3.0,2.0,,
Algeria,2020-04-29,1.0,2.0,1.0,4.0
Algeria,2020-04-30,2.0,5.0,4.0,11.0
Antigua and Barbuda,2020-02-01,0.0,0.0,1.0,1.0
Antigua and Barbuda,2020-02-02,0.0,0.0,2.0,2.0
Antigua and Barbuda,2020-02-06,0.0,0.0,4.0,4.0
Antigua and Barbuda,2020-02-13,0.0,1.0,3.0,4.0
Antigua and Barbuda,2020-02-14,0.0,0.0,5.0,5.0
Antigua and Barbuda,2020-02-15,0.0,0.0,1.0,1.0
Antigua and Barbuda,2020-02-17,0.0,0.0,2.0,2.0
Antigua and Barbuda,2020-02-22,0.0,1.0,2.0,3.0
Antigua and Barbuda,2020-02-23,0.0,0.0,0.0,0.0
Antigua and Barbuda,2020-02-25,0.0,0.0,4.0,4.0
Antigua and Barbuda,2020-02-27,0.0,0.0,3.0,3.0
Antigua and Barbuda,2020-03-03,0.0,0.0,0.0,0.0
Antigua and Barbuda,2020-03-04,0.0,2.0,1.0,3.0
Antigua and Barbuda,2020-03-05,0.0,1.0,6.0,7.0
Antigua and Barbuda,2020-03-06,0.0,0.0,5.0,5.0
Antigua and Barbuda,2020-03-11,0.0,1.0,2.0,3.0
Antigua and Barbuda,2020-03-12,0.0,1.0,3.0,4.0
